A0A087WTH1_human A0A2I3MPH4_baboon A0A3Q1MFP3_cow A0A5F8HGV3_opossum A0A8I3NQU2_dog E9Q8G3_mouse
A0A096NHB5_baboon A0A140LI11_mouse A0A8I3RQW0_dog A6NKP2_human F1MC60_cow F7F9S0_opossum
A0A096NB76_baboon A0A8I3RV24_dog A6NKW6_human A6QQ93_cow F6XPW1_opossum Q9D1Y9_mouse
A0A096NC90_baboon A0A8I3Q3W8_dog A6NLC5_human A7E369_cow F7DI48_opossum Q6GQU0_mouse
A0A096MXM6_baboon A0A8I3N0L1_dog A6NLP5_human F7G9C7_opossum Q3SZV0_cow Q8VBW8_mouse
A0A0A0MVZ2_baboon A0A5F8H5U1_opossum A0A8I3ME03_dog A6NLU5_human G3MYW6_cow Q9JME9_mouse
A0A096N2Z7_baboon A0A8I3QCN1_dog A6NM10_human E1BDW5_cow F7CU36_opossum Q8CHJ2_mouse
A0A096NBM2_baboon A0A8I3MTL6_dog A6NM36_human F7FBT8_opossum G3N3X5_cow Q3UV48_mouse
A0A096MLC7_baboon A0A8I3MLY0_dog A6NMK8_human E1BNY7_cow F6UF09_opossum Q6GQV1_mouse
A0A096N524_baboon A0A8I3Q728_dog A6NML5_human F1MYZ6_cow F7B530_opossum Q8C6V3_mouse
A0A2I3LQY1_baboon A0A8I3PAK8_dog A5PKG8_cow A6NMT0_human F7FQV1_opossum P52950_mouse
A0A5F8H7J5_opossum A0A8I3NF76_dog A0A8I5NXD7_baboon A6NMZ2_human Q0P561_cow Q8C9X1_mouse
A0A096N9M9_baboon A0A8I3QF27_dog A6NMZ7_human F1MD40_cow F7EWH1_opossum Q8C6K9_mouse
A0A096MTS3_baboon A0A8I3S1B5_dog A6NN90_human F1N0V3_cow F7F7C9_opossum Q9DAQ4_mouse
A0A2I3LSU7_baboon A0A3Q1MKQ5_cow A0A8I3NT53_dog A6NN92_human F6SMX3_opossum Q9CX92_mouse
A0A096MVF4_baboon A0A8I3MXE6_dog A6NNA2_human E1BJS4_cow K7E3D3_opossum Q80WV7_mouse
A0A2I3NAZ5_baboon A0A8I3PDM0_dog A6NNA5_human E1BDA0_cow F7GLS7_opossum Q8BYH0_mouse
A0A8I3QH24_dog A0A8I5MX89_baboon A1A4P2_cow A6NNB3_human H9H7W4_opossum O88728_mouse
A0A8I3RX22_dog A0A8I5N3X2_baboon A6NND4_human E9Q519_mouse F6UF37_opossum G3N3A7_cow
A0A096MKZ7_baboon A0A8I3ML50_dog A6NNE9_human F1MU27_cow F7DWW8_opossum Q8CBH7_mouse
A0A096NMG0_baboon A0A5F8H263_opossum A0A8I3P0E2_dog A6NNL5_human G3MX25_cow Q0VG49_mouse
A0A096MXE4_baboon A0A8I3NPY2_dog A6NNN8_human E1BDA4_cow F7BNC0_opossum Q5HZH7_mouse
A0A096P2W6_baboon A0A5F8GAG4_opossum A0A8I3MJ90_dog A6NNS2_human Q1RMJ5_cow Q8CHS7_mouse
A0A2I3MFS6_baboon A0A8I3Q5Z0_dog A6NNW6_human F6RG16_cow F7FN99_opossum Q8C042_mouse
A0A096N3I2_baboon A0A5F8GVR7_opossum A0A8I3PIG1_dog A6NNX1_human Q32PB2_cow Q3KNY5_mouse
A0A096N8S2_baboon A0A8I3P640_dog A6NP61_human C3VD30_mouse F7FZE4_opossum Q1XFL1_cow
A0A096NKV6_baboon A0A8I3N0Z5_dog A4Q9F1_mouse A6PVC2_human F7GGM0_opossum G3N0U5_cow
A0A2I3N1H5_baboon A0A5F8HDN9_opossum A0A8I3S0Z3_dog A6PVL3_human E1B8C3_cow Q307W7_mouse
A0A096MPG9_baboon A0A3Q1MM31_cow A0A8I3MYG8_dog A6PVS8_human F6XDZ3_opossum Q14DL3_mouse
A0A2I3MDI3_baboon A0A8I3NNE7_dog A6XGL0_human F1MXN3_cow F6W8I0_mouse F6WSR6_opossum
A0A096MQM4_baboon A0A8I3P8F1_dog A7E2U8_human F1N3A8_cow F6XIF3_opossum Q3U1D9_mouse
A0A096P4L8_baboon A0A8I3N5C5_dog A7E2V4_human E1BCX3_cow F6RP28_opossum Q3UHH1_mouse
A0A096MV13_baboon A0A3Q1MMX7_cow A0A8I3NJ11_dog A7KAX9_human F6TP06_opossum Q811P8_mouse
A0A2I3N297_baboon A0A8I3S6I7_dog A7MBM2_human F1MS67_cow F6UAQ4_opossum Q8CIP5_mouse
A0A5F8H484_opossum A0A8I3RYR7_dog A0A8I5R191_baboon A2A9T0_mouse A7MCY6_human E1BM04_cow
A0A2I3MW15_baboon A0A8I3NBU1_dog A7XYH9_cow A7XYI3_opossum A7XYQ1_human Q0P5V2_mouse
A0A096NAS3_baboon A0A8I3MS44_dog A8CG34_human E1BG57_cow F6X7M1_opossum Q8K3Z9_mouse
A0A096NJU7_baboon A0A5F8GS13_opossum A0A8I3N0X3_dog A8K0R7_human E9PUU5_mouse G3MZX9_cow
A0A2I3N061_baboon A0A8I3P659_dog A8K7I4_human F1MGZ5_cow F6S0F1_opossum Q9D7Z6_mouse
A0A096N748_baboon A0A3Q1LIY2_cow A0A5F8H5I9_opossum A0A8I3RSC4_dog A8K830_human F8VPY8_mouse
A0A8I3MMN1_dog A0A8I5NU71_baboon A8K855_human E1BMZ0_cow F7FJD4_opossum Q8VDY4_mouse
A0A096NJM8_baboon A0A3Q1NA26_cow A0A8I3PQQ2_dog A8K8P3_human F6WT46_opossum Q3UZY0_mouse
A0A096NH86_baboon A0A5F8H1D6_opossum A0A8I3N8P7_dog A8K979_human E1BJE4_cow Q5BKS4_mouse
A0A096NS93_baboon A0A8I3PM84_dog A8MPS7_human F1MC73_cow F6YJB8_opossum Q14BV6_mouse
A0A096NDV5_baboon A0A8I3PFB6_dog A8MPX8_human F1MDF9_cow F7E6F4_opossum Q8BVT6_mouse
A0A096N8A5_baboon A0A8I3PTL6_dog A0JNN6_cow A8MQ03_human F6SDY0_opossum Q9D1E4_mouse
A0A2I3N4T8_baboon A0A8I3RR77_dog A8MQ27_human F1MPM5_cow F7FS46_opossum Q0MW30_mouse
A0A2I3N2K8_baboon A0A452DJF5_cow A0A8I3NK00_dog A8MSI8_human F7FZ24_opossum Q3UN90_mouse
A0A8I3NWM0_dog A0A8I5MZ41_baboon A8MT70_human F1N737_cow F6QYU2_opossum Q0P5X5_mouse
A0A8I3N454_dog A0A8I5NUT0_baboon A2AIP0_mouse A8MTA8_human K7E698_opossum Q2TBR5_cow
A0A096NRM0_baboon A0A8I3PQY2_dog A8MTJ3_human F6V450_opossum P0C7Q4_cow Q3V3I2_mouse
A0A2I3M068_baboon A0A5F8GZ55_opossum A8MTJ6_human B5RHS5_dog D3Z120_mouse F1MC99_cow
A0A096NLX8_baboon A0A8I3MHK1_dog A8MTL3_human D3Z423_mouse E1BHB7_cow F6R5C5_opossum
A0A3Q1M3E8_cow A0A5F8H7H2_opossum A0A8I3P4X0_dog A0A8I5NCL9_baboon A8MTT3_human Q8BTE5_mouse
A0A8I3QRT1_dog A0A8I5P1W3_baboon A8MTZ0_human F7AYF5_opossum G3N2W1_cow J3QMK2_mouse
A0A096NP71_baboon A0A8I3PR41_dog A8MTZ7_human F1MF69_cow F7AUG9_opossum Q80W69_mouse
A0A096MMC4_baboon A0A8I3PDI4_dog A8MU46_human E1BPV6_cow F7ES06_opossum Q99LM3_mouse
A0A096N877_baboon A0A8I3PCC5_dog A6QQ92_cow A8MV23_human E9Q6A2_mouse K7DZT9_opossum
A0A2I3LYV1_baboon A0A8I3NHZ3_dog A8MV24_human E1BC62_cow F6WU96_opossum Q9DAQ5_mouse
A0A096NWE3_baboon A0A8I3PXJ9_dog A8MV65_human F1MRK9_cow F6VMX5_opossum P85442_mouse
A0A0A0MTW6_baboon A0A8I3PLN6_dog A8MVS5_human E1BKF5_cow F7F148_opossum Q75VT8_mouse
A0A096P617_baboon A0A8I3MYK3_dog A2A699_mouse A8MVW0_human E1BNG6_cow F6QXY6_opossum
A0A3Q1MIT6_cow A0A8I3PKC6_dog A0A8I5R564_baboon A8MVX0_human F6PRP1_opossum Q8BW86_mouse
A0A2I3MTR0_baboon A0A8I3N833_dog A2VE56_cow A8MW92_human F7GHB9_opossum Q8CCJ9_mouse
A0A2I3N8M5_baboon A0A3Q1LSX7_cow A0A8I3N4E8_dog A8MW99_human F7CAD9_opossum Q8BRM6_mouse
A0A096MXD4_baboon A0A452DHZ6_cow A0A8I3N4U5_dog A8MWY0_human F6V5K9_opossum Q3UZV7_mouse
A0A096MTR0_baboon A0A8I3NLW6_dog A8MXD5_human E1BCE8_cow F7AB51_opossum Q50H32_mouse
A0A096NZQ2_baboon A0A5F8GEC2_opossum A0A8I3PIT8_dog A8MXK1_human F1MCX3_cow Q9D806_mouse
A0A0A0MUS1_baboon A0A5F8GUK1_opossum A0A8I3RP71_dog A8MXV4_human E1BDS7_cow P11930_mouse
A0A096NAR1_baboon A0A8I3MFS1_dog A8MY62_human F1N5C1_cow F7F6X0_opossum S4R213_mouse
A0A8I3QWE5_dog A0A8I5QZU0_baboon A8MYB1_human F1MWR4_cow F7AQ53_opossum Q80X59_mouse
A0A096MZT0_baboon A0A8I3PDI2_dog A8MYJ7_human F1N5B7_cow F7FGX3_opossum Q8C0Q3_mouse
A0A096N0X1_baboon A0A3S5ZP59_cow A0A5F8GWM2_opossum A0A8I3NRF2_dog A8MYU2_human O54982_mouse
A0A096NIM7_baboon A0A3Q1LTJ2_cow A0A8I3PDC2_dog A8MYV0_human F7EUC1_opossum Q9D1B8_mouse
A0A096NFE0_baboon A0A8I3N4C1_dog A8MYZ6_human E1BBI0_cow F6WVS4_opossum Q70KY4_mouse
A0A096NAG3_baboon A0A8I3MY78_dog A8MZ26_human E1BKI7_cow F6ZS53_opossum Q9DAM2_mouse
A0A096NLC3_baboon A0A5F8HAN3_opossum A0A8I3MKW8_dog A8MZG2_human Q32LI1_cow Q8BT88_mouse
A0A096P098_baboon A0A8I3N6Y7_dog A9QM74_human C0LLJ0_mouse C1JZ66_cow F7GHM2_opossum
A0A096NSU6_baboon A0A8I3PW45_dog A9UHW6_human F7FBR7_opossum Q3UBZ5_mouse Q3ZC21_cow
A0A096NDN4_baboon A0A8I3MV76_dog A6QQ85_cow B0FP48_human F6UVW9_opossum Q9D701_mouse
A0A8I3N787_dog A0A8I5R9C0_baboon B0I1T2_human F1MFG9_cow F6WD62_opossum Q5SUA5_mouse
A0A2I3N618_baboon A0A3Q1LRF8_cow A0A5F8GAR4_opossum A0A8I3PVU2_dog B1AK53_human Q9ET47_mouse
A0A096NVJ5_baboon A0A8I3PIF5_dog A2ATD1_mouse B1AKI9_human F6RLR4_cow F7ERG0_opossum
A0A096NGI7_baboon A0A5F8GQN6_opossum A0A8I3QIR1_dog A4IFM1_cow B1AL88_human Q8CCS2_mouse
A0A096MTI6_baboon A0A8I3N8S0_dog B1ANS9_human E1BMY9_cow F6PR04_opossum Q9D565_mouse
A0A096NMM0_baboon A0A5F8H821_opossum A0A8I3PI77_dog B2RTY4_human G3MXE8_cow Q8C170_mouse
A0A3Q1MR35_cow A0A8I3P2D5_dog A0A8I5NUL6_baboon B2RUY7_human F7FEN3_opossum Q505H4_mouse
A0A096MUH5_baboon A0A5F8HL45_opossum A0A8I3P9T5_dog B2RUZ4_human G3N2Z1_cow P0C8K7_mouse
A0A2I3MZU1_baboon A0A5F8HE01_opossum A0A8I3NFA5_dog B2RV13_human G3N1Q7_cow Q9DAN9_mouse
A0A8I3NV27_dog A0A8I5NTD9_baboon B3SHH9_human E1B9W1_cow F6XFE8_opossum Q9D563_mouse
A0A096NFS2_baboon A0A3Q1LHG0_cow A0A5F8HDE0_opossum A0A8I3Q000_dog B4DJY2_human D3Z1U7_mouse
A0A2I3LF11_baboon A0A8I3NFV7_dog B4DS77_human F6WK63_opossum G3MXA2_cow Q9CZN4_mouse
A0A096NIU3_baboon A0A5F8GQS6_opossum A0A8I3NDR9_dog B4E2M5_human G3MY95_cow J3QNN4_mouse
A0A2I3M104_baboon A0A5F8G519_opossum A0A8I3MR81_dog B6A8C7_human B6A8R8_mouse G5E6Q4_cow
A0A096N902_baboon A0A8I3PPB9_dog B7Z1M9_human G3MXJ3_cow K7E1M4_opossum P0CG09_mouse
A0A096MN57_baboon A0A8I3PS48_dog B9A014_human F1MIW6_cow F7E656_opossum Q8CDS7_mouse
A0A096MWT6_baboon A0A5F8HA54_opossum A0A8I3NY10_dog A5D7C9_cow B9EJG8_human Q8C8S3_mouse
A0A8I3NB65_dog A0A8I5NI84_baboon A2AJA9_mouse C9J069_human E1B9Y2_cow F6WFJ5_opossum
A0A096NFF4_baboon A0A3Q1MWV6_cow A0A5F8HFW6_opossum A0A8I3PRD6_dog C9J7I0_human E0CX23_mouse
A0A096MWZ7_baboon A0A3Q1MIE1_cow A0A5F8HAI0_opossum A0A8I3RNV4_dog B2RXB2_mouse C9JCN9_human
A0A096NLY6_baboon A0A8I3QGZ1_dog A2ARM1_mouse C9JE40_human F1N6C5_cow F7G5L3_opossum
A0A0A0MU14_baboon A0A3Q1MSF1_cow A0A5F8HBK1_opossum A0A8I3MCJ7_dog A9JSM3_mouse C9JI98_human
A0A096MM29_baboon A0A8I3PYI2_dog A6QPA3_cow C9JJ37_human K7E1N3_opossum S4R1I0_mouse
A0A096MY62_baboon A0A5F8H6D2_opossum A0A8I3N4B3_dog C9JL84_human G3N1Y4_cow Q3TYV2_mouse
A0A2I3LIU1_baboon A0A8I3MT56_dog C9JQI7_human E1B878_cow F7CJ84_opossum Q5K6N0_mouse
A0A096MN60_baboon A0A5F8GQJ8_opossum A0A8I3S6C5_dog A2ARS0_mouse C9JTQ0_human G3MYC6_cow
A0A140LIX9_mouse A0A2I3N4B5_baboon A0A3Q1M0E2_cow A0A5F8GZG7_opossum A0A8I3NGX7_dog D6REC4_human
A0A096NP48_baboon A0A5F8HJA3_opossum A0A8I3PUF1_dog D6RGH6_human G3N1S4_cow Q3UZ45_mouse
A0A096MPV2_baboon A0A5F8GRX2_opossum A0A8I3S518_dog D6RIA3_human E0CYV9_mouse G3MXS3_cow
A0A5F8H7H5_opossum A0A8I3PJ85_dog A0A8I5NJF3_baboon E7ERA6_human G3MWZ4_cow Q3UV31_mouse
A0A087WR45_mouse A0A5F8GYL2_opossum A0A8I3MLZ1_dog A0A8I5NHZ1_baboon E7EW31_human F1MVC9_cow
A0A096MQX3_baboon A0A3Q1LQP9_cow A0A5F8GVG5_opossum A0A8I3PXC1_dog D3Z338_mouse E9PQX1_human
A0A096NMD0_baboon A0A3Q1MN11_cow A0A8I3PTB3_dog F5GYI3_human G3UW59_mouse K7E4I4_opossum
A0A5F8HF30_opossum A0A8I3PXR9_dog A0A8I5NNE9_baboon E9Q0B3_mouse F5H4A9_human G3N2Z9_cow
A0A096NK26_baboon A0A8I3PIS7_dog E1B7R2_cow F5H4B4_human F6RRH5_opossum Q9D3V8_mouse
A0A096P1A4_baboon A0A3Q1MHW2_cow A0A8I3S549_dog F6QYD3_opossum G3V523_human L7N244_mouse
A0A096MR20_baboon A0A8I3PU56_dog F7C7K6_opossum H3BNL1_human Q2NKS5_cow Q80ZQ7_mouse
A0A096NLD2_baboon A0A286YCZ6_mouse A0A3Q1MTD9_cow A0A8I3P4S6_dog H3BNL8_human K7E4L6_opossum
A0A096MRK5_baboon A0A8I3PXT5_dog D3Z393_mouse E1BIW6_cow F7FE07_opossum H3BPM6_human
A0A096NL39_baboon A0A8I3PSG2_dog E1BMK8_cow F7FJG2_opossum H3BQB6_human Q6P3A1_mouse
A0A096NS24_baboon A0A8I3MVV4_dog B2KGE5_mouse F6QWT9_cow F6ZTY7_opossum H3BQW9_human
A0A2I3LPP2_baboon A0A3Q1LFK7_cow A0A5F8GKW6_opossum A0A8I3Q604_dog H3BRN8_human V9GXK1_mouse
A0A2I3MYC7_baboon A0A3Q1MS77_cow A0A5F8MQ13_mouse A0A8I3Q619_dog H3BS89_human K7E2C1_opossum
A0A096MUC9_baboon A0A3Q1M2L7_cow A0A8I3MEY4_dog H3BTG2_human K7E203_opossum Q9CPU3_mouse
A0A0A0MVR6_baboon A0A8I3MG27_dog D3YYM0_mouse E1BCX0_cow F6TVG6_opossum O00110_human
A0A8I3P5U3_dog A0A8I5N2Y3_baboon F1MZ33_cow F6VJD5_opossum O00115_human P56542_mouse
A0A3Q1NBU3_cow A0A8I3S1K1_dog A0A8I5N855_baboon F6YBI5_opossum O00116_human Q8C0I1_mouse
A0A5F8HAR0_opossum A0A8I3S207_dog A0A8I5N9U6_baboon O00124_human Q2TBH5_cow Q9QZ49_mouse
A0A5F8GVS6_opossum A0A8I3NL14_dog A0A8I5NA89_baboon G3N277_cow O00139_human P28740_mouse
A0A2I3M8F8_baboon A0A8I3RTW6_dog A7MB74_cow F7F0V9_opossum O00141_human Q9WVC6_mouse
A0A096NJ58_baboon A0A8I3NKH9_dog F6PTZ2_opossum G3N1H3_cow O00142_human Q9R088_mouse
A0A096NAS2_baboon A0A3Q1MCH2_cow A0A8I3MVD8_dog F6WS18_opossum O00144_human Q9R216_mouse
A0A0A0MTW1_baboon A0A5F8H7S6_opossum A0A8I3PGD1_dog O00148_human Q5E970_cow Q8VDW0_mouse
A0A096P5Q9_baboon A0A8I3S614_dog A6H7E3_cow F7DMN3_opossum O00151_human O70400_mouse
A0A2I3MM43_baboon A0A3Q1MI69_cow A0A5F8G514_opossum A0A8I3S7U1_dog O00154_human Q91V12_mouse
A0A096P298_baboon A0A5F8GAW6_opossum A0A8I3NVP7_dog O00159_human Q27966_cow Q9WTI7_mouse
A0A0A0MWG4_baboon A0A8I3RTK5_dog F1MMC7_cow F7C6F1_opossum O00160_human P70248_mouse
A0A096P0C5_baboon A0A8I3S1Q9_dog F7FGR4_opossum O00161_human O09044_mouse Q2T9M8_cow
A0A096NPN4_baboon A0A8I3NVC0_dog F6WYG5_opossum O00165_human O35387_mouse Q2KIE2_cow
A0A2I3LJE7_baboon A0A5F8GKY1_opossum A0A8I3S4G0_dog O00167_human O08575_mouse Q58DB6_cow
A0A096MVH5_baboon A0A5F8G6F7_opossum A0A8I3NBQ7_dog O00170_human O08915_mouse Q7YRC1_cow
A0A096NRM8_baboon A0A5F8GRZ9_opossum O00175_human Q2KIR3_cow Q68Y86_dog Q9JKC0_mouse
A0A5F8G323_opossum A0A8I3PKZ4_dog A0A8I5R556_baboon O00178_human O08582_mouse Q58DC5_cow
A0A096MPF8_baboon A0A8I3MR75_dog F7DH29_opossum O00180_human O08581_mouse Q0P5A0_cow
A0A096MY04_baboon A0A5F8GMQ2_opossum A0A8I3N4I4_dog F1MXB4_cow O00186_human Q60770_mouse
A0A096NGG0_baboon A0A8I3MRI0_dog E1BJ49_cow F6S7Y6_opossum O00187_human Q91WP0_mouse
A0A096NGW8_baboon E2RED8_dog F6TVH4_opossum O00189_human Q29RY8_cow Q9JKC7_mouse
A0A096NRX8_baboon A0A5F8GUU7_opossum A0A8I3PL81_dog O00193_human Q3MHL8_cow Q9R0P4_mouse
A0A096N186_baboon A0A5F8HAR9_opossum A0A8I3MTM0_dog O00194_human Q8HZJ5_cow Q99P58_mouse
A0A5F8GK69_opossum A0A8I3N509_dog A0A8I5NBS9_baboon O00203_human Q32PG1_cow Q9Z1T1_mouse
A0A0A0MV09_baboon A0A5F8GIB2_opossum A0A8I3MI64_dog A1A4N6_cow O00204_human O35400_mouse
A0A2I3M2G7_baboon A0A8I3RZ33_dog F6Y6W8_opossum O00206_human Q9GL65_cow Q9QUK6_mouse
A0A096MYA7_baboon A0A8I3RU61_dog F7FD62_opossum O00213_human Q17QV1_cow Q9QXJ1_mouse
A0A3Q1LN15_cow A0A8I3MK80_dog A0A8I5NVD6_baboon F6QAK4_opossum O00214_human Q9JL15_mouse
A0A096N2R4_baboon A0A3Q1LP80_cow A0A8I3ND97_dog F6VFX4_opossum O00219_human O08650_mouse
A0A096NIM1_baboon A0A8I3N908_dog F1MVS1_cow F7GJU9_opossum O00221_human O54910_mouse
A0A096P3S8_baboon A0A8I3NN65_dog F7AWK6_opossum O00231_human Q2KI42_cow Q8BG32_mouse
A0A2I3MHT1_baboon A0A8I3PZT2_dog F7DST4_opossum O00232_human Q2KJ25_cow Q9D8W5_mouse
A0A096N8L3_baboon A0A8I3PMA2_dog K7E186_opossum O00233_human Q3SZ19_cow Q9CR00_mouse
A0A096MTR5_baboon A0A8I3NKY7_dog E1BEJ4_cow F7FNJ3_opossum O00237_human Q9R1W3_mouse
A0A096N2I0_baboon A0A8I3PGL0_dog A7YWG6_cow F6Q8L1_opossum O00238_human P36898_mouse
A0A096MNI2_baboon F7BQ41_opossum O00244_human O08997_mouse Q3T0E0_cow Q9TT99_dog
A0A096NE32_baboon A0A8I3N2L5_dog D2CNK1_cow F6XD58_opossum O00253_human P56473_mouse
A0A096NP45_baboon A0A5F8GHR1_opossum A0A8I3NFL3_dog A4IFB7_cow O00254_human O08675_mouse
A0A3Q1MDR6_cow A0A8I3NSJ6_dog A0A8I5NAF3_baboon F6YF57_opossum O00257_human O55187_mouse
A0A2I3LMB6_baboon A0A8I3PBR6_dog F6SUN5_opossum G5E5M5_cow O00264_human O55022_mouse
A0A2I3MVF0_baboon A0A5F8GJB9_opossum A0A8I3MSR1_dog E1BC98_cow O00267_human O55201_mouse
A0A096NND7_baboon A0A8I3NXT5_dog E9QAP7_mouse F1MMS1_cow F7DMG1_opossum O00268_human
A0A8I3MVK0_dog A0A8I5NXR0_baboon F1N1J4_cow F7EI33_opossum F8VQN3_mouse O00270_human
A0A096N1M1_baboon A0A8I3MHQ9_dog F7DI42_opossum O00273_human O54786_mouse Q0VC37_cow
A0A096NA38_baboon A0A8I3Q4B6_dog F1N5Q7_cow F6USD6_opossum O00287_human Q8VCG9_mouse
A0A2I3MI09_baboon A0A5F8H302_opossum A0A8I3MQX2_dog F1MWF0_cow O00291_human Q8VD75_mouse
A0A2I3MYU8_baboon A0A8I3MZT0_dog E1BHT9_cow F6TX39_opossum O00294_human Q9Z273_mouse
A0A096MR31_baboon A0A8I3NMK5_dog F6UK56_opossum O00299_human Q5E9B7_cow Q9Z1Q5_mouse
A0A2I3MHR4_baboon A0A8I3MPQ0_dog A5D7R1_cow F6VWG6_opossum O00300_human O08712_mouse
A0A8I3NFD2_dog A0A8I5N7X3_baboon E1BLZ8_cow F7CU18_opossum O00303_human Q9DCH4_mouse
A0A2I3M9B2_baboon A0A5F8HG82_opossum A0A8I3N5F4_dog F1N167_cow O00305_human Q8R0S4_mouse
A0A2I3MBC4_baboon A3KMV3_cow F7DI62_opossum I3RSH9_dog O00308_human Q9DBH0_mouse
A0A096MKT5_baboon A0A8I3NV55_dog F7ALP4_opossum O00311_human Q32PH9_cow Q9Z0H0_mouse
A0A0A0MWI4_baboon A0A5F8G8C2_opossum A0A8I3MKH1_dog E1B7I2_cow O00321_human P41163_mouse
A0A0A0MU97_baboon A0A8I3N0D4_dog F6R5Z0_opossum O00322_human P38572_cow Q9D132_mouse
A0A2I3M8K4_baboon A0A5F8GRW1_opossum A0A8I3P3G7_dog E1BLF5_cow O00327_human Q9WTL8_mouse
A0A096NPP4_baboon A0A8I3Q525_dog E1BE66_cow F6Q3H7_opossum O00329_human O35904_mouse
A0A096MMB9_baboon A0A8I3S3H9_dog F7F2T0_opossum O00330_human P22439_cow Q8BKZ9_mouse
A0A2I3N2M7_baboon A0A8I3NC36_dog F1MBP4_cow F6YH14_opossum O00338_human Q9D939_mouse
A0A2I3LXT3_baboon A0A5F8H906_opossum A0A8I3PGS1_dog A5D7D5_cow O00339_human O08746_mouse
A0A8I3NP32_dog A0A8I5NM19_baboon F1ME54_cow F6ZZ08_opossum O00358_human Q8R2I0_mouse
A0A096N4D3_baboon A0A3Q1N9Y5_cow A0A5F8GCP6_opossum A0A8I3RQL9_dog O00391_human Q8BND5_mouse
A0A096NEF9_baboon A0A8I3PLY8_dog F6XR43_opossum G3X6Q0_cow O00398_human Q8BFU7_mouse
A0A2I3LT94_baboon A0A8I3NMB7_dog F7C606_opossum O00399_human Q148G7_cow Q9WUB4_mouse
A0A096NGR1_baboon A0A8I3PDC7_dog F6Z4G4_opossum O00400_human Q0VCP0_cow Q99J27_mouse
A0A2I3MVC2_baboon A0A5F8HGK0_opossum A0A8I3N3P2_dog O00408_human P14099_cow Q922S4_mouse
A0A096MNG4_baboon A0A3Q1LX68_cow A0A8I3NMC6_dog F6Q3T2_opossum O00409_human Q499D0_mouse
A0A096MPU2_baboon A0A3Q1LV36_cow A0A5F8GXP2_opossum A0A8I3PAU2_dog O00410_human Q8BKC5_mouse
A0A0A0MUC6_baboon A0A8I3NVE4_dog E1BCZ0_cow F7FG73_opossum O00411_human Q8BKF1_mouse
A0A2I3M294_baboon A0A8I3RSB2_dog E1BEM1_cow F7C485_opossum O00418_human O08796_mouse
A0A096MP33_baboon A0A8I3NBH7_dog F6W0B8_opossum O00421_human O35457_mouse Q0II78_cow
A0A096NFK1_baboon A0A8I3PAM9_dog F6YIF1_opossum G3X7E1_cow O00422_human O55128_mouse
A0A096NJQ8_baboon A0A3Q1MU61_cow A0A8I3MRC3_dog F7EXM4_opossum O00423_human Q05BC3_mouse
A0A096N5R8_baboon A0A8I3NBD0_dog F1MPB2_cow F6ZFA4_opossum O00425_human Q9CPN8_mouse
A0A096NYR0_baboon A0A5F8H5S3_opossum A0A8I3NR52_dog O00429_human Q2KIA5_cow Q8K1M6_mouse
A0A096MT18_baboon A0A8I3NYZ9_dog F7GBC6_opossum O00442_human Q2HJ88_cow Q9D7H3_mouse
A0A2I3NGB5_baboon A0A8I3SAR3_dog E1BE68_cow F6PV08_opossum O00443_human Q61194_mouse
A0A096MT32_baboon A0A8I3SAH0_dog A2VDZ4_cow F6YGH3_opossum O00444_human Q64702_mouse
A0A096NPA6_baboon A0A8I3Q4U8_dog F6SZS5_opossum O00451_human O08842_mouse Q5E9X0_cow
A0A8I3Q982_dog A0A8I5MW03_baboon F1MN39_cow F6ZRD1_opossum O00458_human P19182_mouse
A0A2I3MGA6_baboon A0A8I3PA62_dog E1BAB5_cow F7FXW6_opossum O00461_human Q8BXA1_mouse
A0A2I3MIK5_baboon A0A3S5ZPJ9_cow A0A5F8G3D5_opossum A0A8I3PSC3_dog O00462_human Q8K2I4_mouse
A0A8I5NX21_baboon A7YWC7_cow C1IPW4_dog F6Z7K3_opossum O00463_human P70191_mouse
A0A096P2E3_baboon A0A3Q1LTY7_cow A0A5F8GXX4_opossum A0A8I3PLC3_dog A2ASQ1_mouse O00468_human
A0A5F8H4M5_opossum A0A8I3PAF7_dog A0A8I5MZK8_baboon A7MB83_cow O00469_human Q9R0B9_mouse
A0A8I3PDP9_dog A0A8I5R6B3_baboon A4FUE0_cow F6Z0Y6_opossum O00470_human Q60954_mouse
A0A2I3MCV2_baboon A0A8I3PAA1_dog F1MC71_cow F7C474_opossum O00471_human Q3TPX4_mouse
A0A096MMU9_baboon A0A8I3P0L8_dog E1BIK3_cow F7EST3_opossum O00472_human Q3UKU1_mouse
A0A096NRJ5_baboon A0A3Q1M5G9_cow A0A8I3PQ40_dog F7DCK8_opossum O00482_human P45448_mouse
A0A2I3NBB8_baboon A0A8I3PWS0_dog F6QIU8_opossum O00483_human Q01321_cow Q62425_mouse
A0A096MV81_baboon A0A5F8HE31_opossum A0A8I3PFM7_dog E1BNG8_cow O00499_human O08539_mouse
A0A2I3LMU8_baboon A0A5F8GYS5_opossum A0A8I3Q328_dog O00501_human O54942_mouse Q2HJ22_cow
A0A096N604_baboon A0A3Q1MUS6_cow A0A5F8GJT3_opossum A0A8I3PH05_dog O00505_human O35344_mouse
A0A096N8I7_baboon A0A8I3NP63_dog E1BPF3_cow F7EFL9_opossum O00512_human Q9D219_mouse
